"employees","salary_2017","salary_adjustments","salary_2018","got_raise"
"Employee 1",47421.4489525184,9298.46854647622,56719.9174989946,TRUE
"Employee 2",42976.543281693,2904.99899769202,45881.542279385,TRUE
"Employee 3",41483.128988184,5577.83148833551,47060.9604765195,TRUE
"Employee 4",43498.8215821795,8096.40960767865,51595.2311898582,TRUE
"Employee 5",45288.0504261702,4033.4832703229,49321.5336964931,TRUE
"Employee 6",44790.8273106441,-22.5877668708563,44768.2395437732,FALSE
"Employee 7",47136.78477332,5509.06488788314,52645.8496612031,TRUE
"Employee 8",40190.3040404432,-724.908104166389,39465.3959362768,FALSE
"Employee 9",45919.0852707252,-3299.72332459874,42619.3619461264,FALSE
"Employee 10",48598.1820640154,6433.71871323325,55031.9007772487,TRUE
"Employee 11",45106.6036871634,7575.97452611662,52682.5782132801,TRUE
"Employee 12",49684.0831637383,9511.40421675518,59195.4873804934,TRUE
"Employee 13",46424.6666920371,-2603.93206728622,43820.7346247509,FALSE
"Employee 14",40987.6427869312,-3089.53117346391,37898.1116134673,FALSE
"Employee 15",49497.5141412579,-4665.91071221046,44831.6034290474,FALSE
"Employee 16",43952.5122521445,-4123.51674516685,39828.9955069777,FALSE
"Employee 17",47408.1662902609,1366.11083173193,48774.2771219928,TRUE
"Employee 18",42045.1888488606,4880.01277437434,46925.2016232349,TRUE
"Employee 19",44041.4086007513,5748.3737624716,49789.7823632229,TRUE
"Employee 20",48766.4178875275,-2352.60855872184,46413.8093288057,FALSE
"Employee 21",45990.7142724842,-103.011614410207,45887.702658074,FALSE
"Employee 22",41242.9887498729,4552.47758305632,45795.4663329292,TRUE
"Employee 23",49684.1282467358,3454.18723067269,53138.3154774085,TRUE
"Employee 24",48820.9149427712,5809.46133122779,54630.376273999,TRUE
"Employee 25",46681.2308877707,4954.56261211075,51635.7934998814,TRUE
"Employee 26",48667.0690728351,-2069.58598108031,46597.4830917548,FALSE
"Employee 27",43962.3403572477,2429.73052780144,46392.0708850492,TRUE
"Employee 28",40123.5477137379,9506.90673198551,49630.4544457234,TRUE
"Employee 29",49777.4864290841,2696.45733758807,52473.9437666722,TRUE
"Employee 30",45372.7299114689,5490.08429865353,50862.8142101225,TRUE
"Employee 31",46925.5306152627,7327.62250001542,54253.1531152781,TRUE
"Employee 32",41807.7369732782,-2028.11213559471,39779.6248376835,FALSE
"Employee 33",47543.0683488958,465.995048871264,48009.063397767,TRUE
"Employee 34",41469.5135317743,488.643625285476,41958.1571570598,TRUE
"Employee 35",47384.2497193255,9958.91294442117,57343.1626637466,TRUE
"Employee 36",43202.4599798024,-2886.7002367042,40315.7597430982,FALSE
"Employee 37",46325.5049358122,3722.03785111196,50047.5427869242,TRUE
"Employee 38",45535.1637909189,7575.6161683239,53110.7799592428,TRUE
"Employee 39",40691.6130892932,7542.91871329769,48234.5318025909,TRUE
"Employee 40",48982.3432406411,9446.18322071619,58428.5264613573,TRUE
"Employee 41",40032.4404938146,2270.712046884,42303.1525406986,TRUE
"Employee 42",42073.1153152883,6623.34346561693,48696.4587809052,TRUE
"Employee 43",46799.1972947493,-3397.1396018751,43402.0576928742,FALSE
"Employee 44",47276.1953622103,9104.7168627847,56380.912224995,TRUE
"Employee 45",45946.9491872005,-3124.27786760963,42822.6713195909,FALSE
"Employee 46",44317.7939229645,62.0091683231294,44379.8030912876,TRUE
"Employee 47",40764.5456911996,7021.77115250379,47786.3168437034,TRUE
"Employee 48",46935.3096024133,-1434.84758795239,45500.4620144609,FALSE
"Employee 49",41511.5662361495,2962.13932218961,44473.7055583391,TRUE
"Employee 50",42996.3696864434,6447.72207946517,49444.0917659085,TRUE
"Employee 51",49164.337979164,4830.57544683106,53994.913425995,TRUE
"Employee 52",44349.3669247255,2376.95842166431,46726.3253463898,TRUE
"Employee 53",45402.1673835814,2110.26729783043,47512.4346814118,TRUE
"Employee 54",46162.1275125071,-2103.62895159051,44058.4985609166,FALSE
